code.ordinal,code.onset,code.offset,code.code01,
0,242148,0,"B",
1,242420,242794,"R",
2,242862,243916,"L",
3,243950,244630,"R",
4,244698,245820,"L",
5,245888,247928,"R",
6,247962,0,"S",
7,255986,0,"B",
8,256224,256666,"R",
9,256700,256972,"L",
10,257040,258400,"R",
11,259454,260270,"R",
12,261290,261732,"R",
13,261766,0,"S",
14,269416,0,"B",
15,269790,270844,"R",
16,270912,272068,"L",
17,272102,274278,"R",
18,274584,275060,"R",
19,275094,0,"S",
20,283118,0,"B",
21,283390,283764,"R",
22,283798,284308,"L",
23,284342,285226,"R",
24,285260,285974,"L",
25,286042,0,"S",
26,287096,0,"B",
27,287232,292740,"C",
28,292774,0,"S",
29,293726,0,"B",
30,293828,294202,"L",
31,294270,294474,"R",
32,294610,297058,"L",
33,297296,297738,"R",
34,297806,0,"S",
35,305422,0,"B",
36,305626,305660,"L",
37,305694,306000,"R",
38,306034,306476,"L",
39,306544,308414,"R",
40,308448,0,"S",
41,309434,0,"B",
42,309570,315418,"C",
43,315452,0,"S",
44,316438,0,"B",
45,316574,316744,"L",
46,316778,317220,"R",
47,317254,320144,"L",
48,320518,0,"S",
49,328168,0,"B",
50,328236,328508,"L",
51,328644,329086,"R",
52,329154,331126,"L",
53,331194,0,"S",
54,332180,0,"B",
55,332418,338130,"C",
56,338164,0,"S",
57,339184,0,"B",
58,339490,340408,"L",
59,340476,341496,"R",
60,342210,343162,"R",
61,343196,0,"S",
62,350880,0,"B",
63,351424,352784,"R",
64,352852,353872,"L",
65,353906,0,"S",
66,354892,0,"B",
67,356252,360876,"C",
68,360910,0,"S",
69,362202,0,"B",
70,362712,364174,"L",
71,364242,365534,"R",
72,365602,366180,"L",
73,366214,0,"S",
74,373898,0,"B",
75,374238,375054,"L",
76,375122,375836,"R",
77,375904,376040,"L",
78,376108,376890,"R",
79,376924,0,"S",
80,377910,0,"B",
81,377978,384030,"C",
82,384098,0,"S",
83,385152,0,"B",
84,385458,385934,"L",
85,386002,386852,"R",
86,386920,387226,"L",
87,387260,387668,"R",
88,387736,388144,"L",
89,388212,389096,"R",
90,389164,0,"S",
91,397154,0,"B",
92,397562,398208,"L",
93,398276,399262,"R",
94,399330,400112,"L",
95,400146,0,"S",
96,401166,0,"B",
97,402016,407150,"C",
98,407184,0,"S",
99,408170,0,"B",
100,408476,408850,"L",
101,408918,410652,"R",
102,410686,410754,"L",
103,410822,412148,"R",
104,412182,0,"S",
105,419900,0,"B",
106,420240,420614,"R",
107,420682,421668,"L",
108,421702,422790,"R",
109,422824,422858,"L",
110,422892,0,"S",
111,423878,0,"B",
112,423980,424524,"C",
113,425442,428434,"C",
114,429862,0,"S",
115,430882,0,"B",
116,431868,432582,"R",
117,432650,434860,"L",
118,434928,0,"S",
119,442578,0,"B",
120,442680,442986,"L",
121,443632,445536,"R",
122,445604,0,"S",
123,446658,0,"B",
124,447066,452540,"C",
125,452608,0,"S",
126,453594,0,"B",
127,453934,454274,"L",
128,454308,456552,"R",
129,456654,457606,"L",
130,457640,0,"S",
131,476578,0,"B",
132,476952,477156,"R",
133,477224,477462,"L",
134,479604,0,"S",
135,480624,0,"B",
136,480760,481848,"C",
137,482494,486234,"C",
138,486268,0,"S",
139,487288,0,"B",
140,487594,488784,"L",
141,488886,489736,"R",
142,489906,491300,"L",
143,491334,0,"S",
144,498984,0,"B",
